,,,Gecode,Gurobi,Gecode,Gurobi
,,,Initial,Initial,Preprocessing,Preprocessing
Month,House,Result,,,,
6,48,time,230.0,230.0,210.0,170.0
6,49,time,90.0,210.0,150.0,260.0
6,50,time,90.0,230.0,80.0,180.0
6,51,time,290.0,310.0,280.0,160.0
6,52,time,80.0,180.0,70.0,140.0
6,53,time,150.0,230.0,140.0,180.0
6,54,time,770.0,220.0,760.0,180.0
6,55,time,110.0,220.0,90.0,160.0
6,56,time,100.0,400.0,80.0,210.0
6,57,time,550.0,210.0,540.0,160.0
6,58,time,90.0,180.0,80.0,140.0
6,59,time,840.0,200.0,790.0,170.0
6,60,time,250.0,310.0,10.0,180.0
6,61,time,100.0,230.0,90.0,200.0
6,62,time,100.0,220.0,90.0,160.0
6,63,time,90.0,190.0,80.0,120.0
6,64,time,90.0,220.0,70.0,170.0
6,65,time,80.0,400.0,70.0,170.0
6,66,time,100.0,220.0,90.0,150.0
6,67,time,110.0,210.0,90.0,160.0
6,68,time,130.0,350.0,120.0,190.0
6,69,time,130.0,560.0,120.0,330.0
6,70,time,130.0,300.0,100.0,170.0
6,71,time,100.0,180.0,90.0,130.0
6,72,time,110.0,180.0,100.0,130.0
6,73,time,100.0,220.0,90.0,140.0
6,74,time,100.0,200.0,80.0,150.0
6,75,time,120.0,250.0,110.0,170.0
6,76,time,80.0,200.0,60.0,150.0
6,77,time,90.0,260.0,80.0,160.0
6,78,time,130.0,190.0,120.0,130.0
6,79,time,190.0,200.0,170.0,140.0
6,80,time,150.0,210.0,140.0,140.0
7,1,time,160.0,210.0,150.0,180.0
7,2,time,120.0,200.0,90.0,190.0
7,3,time,160.0,340.0,150.0,220.0
7,4,time,760.0,430.0,130.0,180.0
7,5,time,90.0,230.0,70.0,170.0
7,6,time,320.0,190.0,320.0,150.0
7,7,time,110.0,240.0,100.0,160.0
7,8,time,200.0,330.0,140.0,200.0
7,9,time,100.0,230.0,80.0,180.0
7,10,time,140.0,230.0,130.0,180.0
7,11,time,100.0,320.0,80.0,220.0
7,12,time,120.0,190.0,100.0,140.0
7,13,time,260.0,230.0,240.0,170.0
7,14,time,80.0,160.0,60.0,110.0
7,15,time,150.0,200.0,130.0,160.0
7,16,time,130.0,240.0,110.0,160.0
7,17,time,90.0,190.0,80.0,150.0
7,18,time,90.0,200.0,80.0,150.0
7,19,time,150.0,190.0,140.0,140.0
7,20,time,110.0,220.0,100.0,170.0
7,21,time,100.0,180.0,90.0,140.0
7,22,time,120.0,230.0,110.0,170.0
7,23,time,140.0,170.0,120.0,120.0
7,24,time,140.0,170.0,130.0,130.0
7,25,time,130.0,220.0,110.0,180.0
7,26,time,90.0,330.0,80.0,160.0
7,27,time,120.0,230.0,110.0,160.0
7,28,time,140.0,270.0,140.0,190.0
7,29,time,240.0,260.0,240.0,160.0
