,,,,,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,
2,16,anti_first_fail,indomain_min,time,50.0,70.0,0.00018821517005562782,,3.7643034011125563e-06
2,17,anti_first_fail,indomain_min,obj,958946.0,958946.0,958946.0,1234631.0,1.0
2,17,anti_first_fail,indomain_min,time,60.0,90.0,0.00022291205823421478,,3.7152009705702462e-06
2,18,anti_first_fail,indomain_min,obj,473280.0,473280.0,473280.0,473280.0,1.0
2,18,anti_first_fail,indomain_min,time,60.0,80.0,0.00020657596178352833,,3.4429326963921387e-06
2,19,anti_first_fail,indomain_min,obj,374852.0,374852.0,374852.0,513372.0,1.0
2,19,anti_first_fail,indomain_min,time,60.0,80.0,0.00020645116455852985,,3.4408527426421643e-06
2,20,anti_first_fail,indomain_min,obj,307310.0,307310.0,307310.0,392380.0,1.0
2,20,anti_first_fail,indomain_min,time,60.0,80.0,0.00018772203475236893,,3.1287005792061486e-06
2,21,anti_first_fail,indomain_min,obj,409032.0,409032.0,409032.0,459782.0,1.0
2,21,anti_first_fail,indomain_min,time,50.0,100.0,0.000212603947147727,,4.2520789429545405e-06
2,22,anti_first_fail,indomain_min,obj,1078452.0,1078452.0,1078452.0,1445128.0,1.0
2,22,anti_first_fail,indomain_min,time,50.0,80.0,0.0002047121524810791,,4.094243049621582e-06
2,23,anti_first_fail,indomain_min,obj,692124.0,692124.0,692124.0,797274.0,1.0
2,23,anti_first_fail,indomain_min,time,50.0,70.0,0.00018852879293262959,,3.7705758586525917e-06
2,24,anti_first_fail,indomain_min,obj,693620.0,693620.0,693620.0,1373220.0,1.0
2,24,anti_first_fail,indomain_min,time,50.0,70.0,0.0001887250691652298,,3.774501383304596e-06
2,25,anti_first_fail,indomain_min,obj,357222.0,357222.0,357222.0,388302.0,1.0
2,25,anti_first_fail,indomain_min,time,50.0,80.0,0.00019970606081187725,,3.994121216237545e-06
2,26,anti_first_fail,indomain_min,obj,1327410.0,1327410.0,1327410.0,2056610.0,1.0
