Month,House,Variable choices,Constraint variables,Result,OGSA,Gecode,Preferred,Ratio,OGSA,Optimised,Preferred,
5,53,anti_first_fail,indomain_min,obj,1035345,1043265,2539065,0.992408448,8640,8520,6000,1.014084507
8,50,anti_first_fail,indomain_min,obj,523150,527150,1602785,0.992412027,5500,4600,2400,1.195652174
7,93,anti_first_fail,indomain_min,obj,427815,431025,713365,0.992552636,3830,2540,2400,1.507874016
9,24,anti_first_fail,indomain_min,obj,4000916,4030916,6071752,0.992557523,9862,7500,6000,1.314933333
12,51,anti_first_fail,indomain_min,obj,1881525,1895100,2953050,0.99283679,6550,4000,4000,1.6375
7,6,anti_first_fail,indomain_min,obj,140881,141893,348158,0.992867865,1072,1004,600,1.067729084
10,82,anti_first_fail,indomain_min,obj,3020258,3041634,4199176,0.992972198,9908,8450,6000,1.172544379
7,8,anti_first_fail,indomain_min,obj,197632,199018,817938,0.993035806,2580,1380,1330,1.869565217
8,24,anti_first_fail,indomain_min,obj,2040020,2054220,6179248,0.993087401,9862,8762,6000,1.125542114
10,78,anti_first_fail,indomain_min,obj,2625900,2643900,4429600,0.993191876,10200,8700,6000,1.172413793
4,72,anti_first_fail,indomain_min,obj,250206,251906,412583,0.993251451,1451,1101,1000,1.317892825
3,5,anti_first_fail,indomain_min,obj,1347866,1356952,2011806,0.993304111,4143,3050,2300,1.358360656
7,78,anti_first_fail,indomain_min,obj,1040000,1046900,3033600,0.993409113,10200,8700,6000,1.172413793
12,5,anti_first_fail,indomain_min,obj,1371902,1380988,3183418,0.993420652,4143,3050,2300,1.358360656
11,8,anti_first_fail,indomain_min,obj,526852,530338,774040,0.993426833,2580,1380,1330,1.869565217
11,5,anti_first_fail,indomain_min,obj,1732442,1743814,2500590,0.993478662,4143,3050,2300,1.358360656
5,8,anti_first_fail,indomain_min,obj,303736,305718,896960,0.993516901,2648,2530,1330,1.046640316
2,89,anti_first_fail,indomain_min,obj,1592800,1603000,2618600,0.993636931,7250,6200,6200,1.169354839
9,58,anti_first_fail,indomain_min,obj,965670,971814,1300416,0.993677803,5827,3727,2400,1.563455863
5,60,anti_first_fail,indomain_min,obj,731075,735705,963490,0.993706717,5685,5120,5120,1.110351563
12,35,anti_first_fail,indomain_min,obj,1933534,1945334,4048050,0.993934204,6702,5055,5000,1.325816024
5,81,anti_first_fail,indomain_min,obj,91672,92222,196072,0.99403613,750,700,500,1.071428571
