,,,,,Gecode,Gurobi,Gecode,Gurobi,Preferred,OGSA,
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,
Month,House,Variable choices,Constraint variables,Result,,,,,,,
2,67,input_order,indomain_min,obj,233896,233896,233896,233896,421450,233896,1.000
2,67,input_order,indomain_min,time,60,90,50,60,,0.000226387,
2,68,input_order,indomain_min,obj,587648,587648,587648,587648,1226808,616556,1.049
2,68,input_order,indomain_min,time,60,120,50,100,,0.000538697,
2,69,input_order,indomain_min,obj,2666574,2666574,2666574,2666574,4158180,2666574,1.000
2,69,input_order,indomain_min,time,60,120,50,100,,0.000487359,
2,70,input_order,indomain_min,obj,267380,267380,267380,267380,441515,271230,1.014
2,70,input_order,indomain_min,time,60,100,50,90,,0.000365126,
2,71,input_order,indomain_min,obj,719550,719550,719550,719550,1199525,744330,1.034
2,71,input_order,indomain_min,time,60,120,50,110,,0.00065712,
2,72,input_order,indomain_min,obj,1875452,1875452,1875452,1875452,3108720,2454514,1.309
2,72,input_order,indomain_min,time,60,120,50,90,,0.000588161,
2,73,input_order,indomain_min,obj,447960,447960,447960,447960,731230,450760,1.006
2,73,input_order,indomain_min,time,60,100,50,70,,0.000268507,
2,74,input_order,indomain_min,obj,658564,658564,658564,658564,1023736,687184,1.043
2,74,input_order,indomain_min,time,60,100,50,90,,0.000432235,
2,75,input_order,indomain_min,obj,423138,423138,423138,423138,475302,423138,1.000
2,75,input_order,indomain_min,time,60,90,50,60,,0.000227981,
2,76,input_order,indomain_min,obj,1475368,1475368,1475368,1475368,3160356,1475368,1.000
2,76,input_order,indomain_min,time,60,100,50,80,,0.000330451,
2,77,input_order,indomain_min,obj,1466800,1466800,1466800,1466800,2778550,1507050,1.027
2,77,input_order,indomain_min,time,60,130,50,90,,0.000377594,
2,78,input_order,indomain_min,obj,121145,121145,121145,121145,152175,121145,1.000
2,78,input_order,indomain_min,time,60,110,50,90,,0.000397019,
2,79,input_order,indomain_min,obj,1248800,1248800,1248800,1248800,1901600,1340000,1.073
2,79,input_order,indomain_min,time,60,110,50,90,,0.000376548,
2,80,input_order,indomain_min,obj,606956,606956,606956,606956,1129322,606956,1.000
2,80,input_order,indomain_min,time,70,140,60,110,,0.000439732,
2,81,input_order,indomain_min,obj,566512,566512,566512,566512,2824320,573416,1.012
2,81,input_order,indomain_min,time,60,100,50,90,,0.00042202,
2,82,input_order,indomain_min,obj,1033350,1033350,1033350,1033350,1730330,1033350,1.000
2,82,input_order,indomain_min,time,60,110,60,100,,0.000459138,
2,83,input_order,indomain_min,obj,664072,664072,664072,664072,967051,664072,1.000
2,83,input_order,indomain_min,time,60,100,50,90,,0.000335863,
