,,,,,Gecode,Optimistic
,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,
2,42,first_fail,indomain_split_random,time,90.0,0.0003497700090520084
2,43,first_fail,indomain_split_random,obj,1122795.0,750225.0
2,43,first_fail,indomain_split_random,time,90.0,0.0005512000061571598
2,44,first_fail,indomain_split_random,obj,1844272.0,1756100.0
2,44,first_fail,indomain_split_random,time,100.0,0.00043490300595294684
2,45,first_fail,indomain_split_random,obj,426575.0,371830.0
2,45,first_fail,indomain_split_random,time,100.0,0.00027627199597191066
2,46,first_fail,indomain_split_random,obj,3490975.0,3490975.0
2,46,first_fail,indomain_split_random,time,100.0,0.00024783299886621535
2,47,first_fail,indomain_split_random,obj,1300100.0,1112600.0
2,47,first_fail,indomain_split_random,time,90.0,0.0002865900023607537
2,48,first_fail,indomain_split_random,obj,1153628.0,581980.0
2,48,first_fail,indomain_split_random,time,100.0,0.0003801440034294501
2,49,first_fail,indomain_split_random,obj,1071990.0,1071990.0
2,49,first_fail,indomain_split_random,time,90.0,0.00026642299781087786
2,50,first_fail,indomain_split_random,obj,1316840.0,1097890.0
2,50,first_fail,indomain_split_random,time,90.0,0.0002682780032046139
2,51,first_fail,indomain_split_random,obj,656880.0,614980.0
2,51,first_fail,indomain_split_random,time,90.0,0.0003214790049241856
2,52,first_fail,indomain_split_random,obj,1430061.0,1358061.0
2,52,first_fail,indomain_split_random,time,100.0,0.0004383449995657429
2,53,first_fail,indomain_split_random,obj,872160.0,775838.0
2,53,first_fail,indomain_split_random,time,90.0,0.0002485779987182468
2,54,first_fail,indomain_split_random,obj,3420060.0,3420060.0
2,54,first_fail,indomain_split_random,time,90.0,0.00026874098693951964
2,55,first_fail,indomain_split_random,obj,3666976.0,3343152.0
2,55,first_fail,indomain_split_random,time,90.0,0.0003016760019818321
2,56,first_fail,indomain_split_random,obj,2606188.0,2019348.0
2,56,first_fail,indomain_split_random,time,90.0,0.000283437009784393
2,57,first_fail,indomain_split_random,obj,3757504.0,3463304.0
2,57,first_fail,indomain_split_random,time,90.0,0.00029302599432412535
2,58,first_fail,indomain_split_random,obj,1053290.0,702145.0
2,58,first_fail,indomain_split_random,time,90.0,0.0003086479991907254
2,59,first_fail,indomain_split_random,obj,688475.0,296210.0
2,59,first_fail,indomain_split_random,time,100.0,0.00035139499232172966
2,60,first_fail,indomain_split_random,obj,1164120.0,1079120.0
2,60,first_fail,indomain_split_random,time,90.0,0.00029108299349900335
2,61,first_fail,indomain_split_random,obj,744150.0,431000.0
2,61,first_fail,indomain_split_random,time,100.0,0.00033714801247697324
2,62,first_fail,indomain_split_random,obj,1025936.0,847857.0
2,62,first_fail,indomain_split_random,time,90.0,0.000273722005658783
2,63,first_fail,indomain_split_random,obj,1639792.0,1639792.0
2,63,first_fail,indomain_split_random,time,90.0,0.0003371960046933964
2,64,first_fail,indomain_split_random,obj,1624212.0,1321772.0
2,64,first_fail,indomain_split_random,time,90.0,0.00029996100056450814
2,65,first_fail,indomain_split_random,obj,1326330.0,1158255.0
2,65,first_fail,indomain_split_random,time,90.0,0.0005873560003237799
2,66,first_fail,indomain_split_random,obj,1097476.0,1050996.0
2,66,first_fail,indomain_split_random,time,80.0,0.00029063700640108436
2,67,first_fail,indomain_split_random,obj,979720.0,748020.0
2,67,first_fail,indomain_split_random,time,90.0,0.0002722869976423681
2,68,first_fail,indomain_split_random,obj,1672963.0,963667.0
2,68,first_fail,indomain_split_random,time,100.0,0.0003066139906877652
2,69,first_fail,indomain_split_random,obj,4956000.0,4379300.0
2,69,first_fail,indomain_split_random,time,90.0,0.00029785199149046093
2,70,first_fail,indomain_split_random,obj,1302280.0,1302080.0
2,70,first_fail,indomain_split_random,time,90.0,0.0003152779972879216
2,71,first_fail,indomain_split_random,obj,2008350.0,1715650.0
2,71,first_fail,indomain_split_random,time,100.0,0.00028368999483063817
2,72,first_fail,indomain_split_random,obj,769795.0,769795.0
2,72,first_fail,indomain_split_random,time,100.0,0.0002385219995630905
2,73,first_fail,indomain_split_random,obj,3039298.0,3032398.0
2,73,first_fail,indomain_split_random,time,90.0,0.0004340050072642043
2,74,first_fail,indomain_split_random,obj,1800776.0,1715876.0
2,74,first_fail,indomain_split_random,time,90.0,0.00045485499140340835
2,75,first_fail,indomain_split_random,obj,1536270.0,1308470.0
2,75,first_fail,indomain_split_random,time,90.0,0.0003109259996563196
2,76,first_fail,indomain_split_random,obj,2293890.0,1481730.0
2,76,first_fail,indomain_split_random,time,100.0,0.0002929379988927394
2,77,first_fail,indomain_split_random,obj,876672.0,781572.0
2,77,first_fail,indomain_split_random,time,90.0,0.0008058419916778803
2,78,first_fail,indomain_split_random,obj,2022288.0,1547916.0
2,78,first_fail,indomain_split_random,time,90.0,0.0003732579934876412
2,79,first_fail,indomain_split_random,obj,1051868.0,943568.0
2,79,first_fail,indomain_split_random,time,90.0,0.00036540901055559516
2,80,first_fail,indomain_split_random,obj,1324753.0,1283653.0
2,80,first_fail,indomain_split_random,time,90.0,0.00034076199517585337
2,81,first_fail,indomain_split_random,obj,387276.0,377106.0
2,81,first_fail,indomain_split_random,time,100.0,0.0003068670048378408
2,82,first_fail,indomain_split_random,obj,3007560.0,3007560.0
2,82,first_fail,indomain_split_random,time,100.0,0.000260397995589301
