,,,,,Gecode,Gurobi,OGSA,Preferred,Objective Ratio,,
,,,,,Modified,Modified,Modified,Modified,Modified,,
Month,House,Variable choices,Constraint variables,Result,,,,,,,
2,34,anti_first_fail,indomain_min,time,60,90,0.000259233,,4.32E-06,,
2,35,anti_first_fail,indomain_min,obj,3174376,3174376,3174376,3955008,1,,20%
2,35,anti_first_fail,indomain_min,time,60,90,0.00020443,,3.41E-06,,
2,36,anti_first_fail,indomain_min,obj,656570,656570,656570,656570,1,,0%
2,36,anti_first_fail,indomain_min,time,60,70,0.000193141,,3.22E-06,,
2,37,anti_first_fail,indomain_min,obj,2071948,2071948,2071948,2210848,1,,6%
2,37,anti_first_fail,indomain_min,time,60,100,0.000303559,,5.06E-06,,
2,38,anti_first_fail,indomain_min,obj,1536946,1536946,1536946,2162446,1,,29%
2,38,anti_first_fail,indomain_min,time,60,70,0.00019261,,3.21E-06,,
2,39,anti_first_fail,indomain_min,obj,1217522,1217522,1217522,1424622,1,,15%
2,39,anti_first_fail,indomain_min,time,60,80,0.000216414,,3.61E-06,,
2,40,anti_first_fail,indomain_min,obj,890180,890180,890180,954980,1,,7%
2,40,anti_first_fail,indomain_min,time,60,80,0.000232381,,3.87E-06,,
2,41,anti_first_fail,indomain_min,obj,687874,687874,851474,495974,1.237834255,,-72%
2,41,anti_first_fail,indomain_min,time,60,80,0.000207069,,3.45E-06,,
2,42,anti_first_fail,indomain_min,obj,499166,499166,694316,499166,1.390952108,,-39%
2,42,anti_first_fail,indomain_min,time,60,80,0.000203125,,3.39E-06,,
2,43,anti_first_fail,indomain_min,obj,1826396,1826396,1826396,2776896,1,,34%
2,43,anti_first_fail,indomain_min,time,50,80,0.000202748,,4.05E-06,,
2,44,anti_first_fail,indomain_min,obj,945689,945689,985436,2131764,1.042029674,,54%
2,44,anti_first_fail,indomain_min,time,50,80,0.000203991,,4.08E-06,,
2,45,anti_first_fail,indomain_min,obj,974315,974315,975965,965580,1.001693497,,-1%
2,45,anti_first_fail,indomain_min,time,50,100,0.000259584,,5.19E-06,,
2,46,anti_first_fail,indomain_min,obj,1892550,1892550,1967950,2883650,1.039840427,,32%
2,46,anti_first_fail,indomain_min,time,60,90,0.000214547,,3.58E-06,,
2,47,anti_first_fail,indomain_min,obj,47248,47248,98836,76098,2.09185574,,-30%
2,47,anti_first_fail,indomain_min,time,60,80,0.000215321,,3.59E-06,,
2,48,anti_first_fail,indomain_min,obj,178799,178799,178799,193299,1,,8%
2,48,anti_first_fail,indomain_min,time,50,60,0.0001932,,3.86E-06,,
2,49,anti_first_fail,indomain_min,obj,1784994,1784994,1784994,2723814,1,,34%
2,49,anti_first_fail,indomain_min,time,50,90,0.000248086,,4.96E-06,,
2,50,anti_first_fail,indomain_min,obj,182022,182022,353022,227142,1.93944688,,-55%
2,50,anti_first_fail,indomain_min,time,60,80,0.0002105,,3.51E-06,,
2,51,anti_first_fail,indomain_min,obj,274270,274270,361270,318670,1.317205673,,-13%
